x,y,level,level_probability
0.6288845858890915,-4.188822586509247,80%,0.8
0.7013734974417336,-4.17079417212335,80%,0.8
0.7733939070187097,-4.1510341285110615,80%,0.8
0.8449140124346077,-4.129551181151375,80%,0.8
0.9159022324242492,-4.106354816309072,80%,0.8
0.9863272205880866,-4.081455276845866,80%,0.8
1.0561578792338913,-4.0548635576974315,80%,0.8
1.1253633731086188,-4.026591401018357,80%,0.8
1.193913143014386,-3.9966512909971383,80%,0.8
1.2617769193025603,-3.965056448343513,80%,0.8
1.3289247352399758,-3.9318208244505652,80%,0.8
1.3953269402414015,-3.896959095234185,80%,0.8
1.4609542129624071,-3.860486654652597,80%,0.8
1.525777574246843,-3.8224196079088197,80%,0.8
1.589768399923218,-3.782774764339066,80%,0.8
1.6528984334443264,-3.7415696299902077,80%,0.8
1.7151397983645522,-3.698822399889601,80%,0.8
1.77646501064931,-3.654551950010674,80%,0.8
1.8368469908112306,-3.60877782893783,80%,0.8
1.896259075867697,-3.5615202492343405,80%,0.8
1.9546750311144663,-3.5128000785170483,80%,0.8
2.0120690617101777,-3.462638830241812,80%,0.8
2.068415824066628,-3.411058654203773,80%,0.8
2.1236904370397864,-3.358082326756632,80%,0.8
2.177868492916609,-3.3037332407552404,80%,0.8
2.2309260681927947,-3.2480353952259895,80%,0.8
2.282839734136732,-3.1910133847695064,80%,0.8
2.3335865671349714,-3.1326923887003733,80%,0.8
2.383144158814641,-3.0730981599286515,80%,0.8
2.431490625938359,-3.012257013588121,80%,0.8
2.4786046200672507,-2.9501958154162584,80%,0.8
2.5244653369878245,-2.8869419698910797,80%,0.8
2.5690525258985177,-2.822523408130102,80%,0.8
2.61234649835189,-2.756968575556742,80%,0.8
2.654328136948479,-2.690306419339621,80%,0.8
2.6949789037785132,-2.6225663756103073,80%,0.8
2.7342808486077264,-2.5537783564651524,80%,0.8
2.772216616803675,-2.483972736756948,80%,0.8
2.8087694569990607,-2.413180340682252,80%,0.8
2.8439232284886584,-2.34143242817028,80%,0.8
2.8776624083565956,-2.2687606810794114,80%,0.8
2.909972098330841,-2.195197189207369,80%,0.8
2.9408380313618556,-2.1207744361212684,80%,0.8
2.9702465779225244,-2.045525284813784,80%,0.8
2.998184752026571,-1.969482963191786,80%,0.8
3.024640216962803,-1.8926810494038206,80%,0.8
